class_number,course_id,grade,id,idnumber,mark,term_code,userid,username
60245,163601,HD,161330,110457470,85,2425,99264,marjy150
60245,163601,P1,161331,110434509,59,2425,94056,mccky038
60245,163601,P1,161332,110456261,59,2425,98868,nashy010
60245,163601,F2,161333,110446084,0,2425,100440,naypy009
60245,163601,D,161334,110368689,78,2425,99684,ngutt107
60245,163601,D,161335,110459877,75,2425,100380,osijy002
60245,163601,C,161336,110459129,66,2425,100036,cxqjy008
60245,163601,C,161337,110457079,72,2425,99233,prilm013
60245,163601,F2,161338,110460467,2,2425,100447,skiby010
60245,163601,D,161339,110375013,76,2425,76528,vercj004
60245,163601,P1,161340,110157671,63,2425,100307,watty009
60245,163601,F1,161341,110459948,47,2425,100379,wilry071
60245,163601,D,161342,110458256,82,2425,99583,wilay135
60270,163601,F2,161343,110460214,0,2425,100169,kurmy017
60246,163601,I,161344,00083905,,2425,96739,alwka01f
60246,163601,F2,161345,110456769,5,2425,99237,artcy009
60246,163601,I,161346,110460029,,2425,100298,bhany016
60246,163601,D,161347,110453444,75,2425,98983,burly035
60246,163601,P1,161348,110460345,57,2425,100369,caday004
60246,163601,D,161349,110395521,76,2425,50109,carly053
60246,163601,F2,161350,110308199,0,2425,100456,coysa001
60246,163601,D,161351,110458459,77,2425,99766,copmy006
60246,163601,P1,161352,100095420,57,2425,93414,devkm003
60246,163601,HD,161353,110459876,85,2425,100470,halfy004
60246,163601,F2,161354,110460213,25,2425,100172,limmy046
60246,163601,F2,161355,110421909,7,2425,54662,madpy007
60246,163601,P1,161356,110453861,55,2425,100469,mehay024
60246,163601,D,161357,110456443,82,2425,98923,papsy021
60246,163601,D,161358,110276293,82,2425,98755,penmy019
60246,163601,D,161359,110454214,76,2425,98149,sinay154
60246,163601,D,161360,110456122,79,2425,98860,soksy008
60246,163601,P1,161361,110393215,56,2425,48857,vanly042
60246,163601,D,161362,110452959,78,2425,97793,wally031
60283,163601,D,161363,110455544,78,2425,98494,mcqty001
60250,163601,P2,161479,110406518,50,2425,97107,alabo001
60250,163601,P1,161480,110295919,62,2425,35350,andry027
60250,163601,F2,161481,100007137,0,2425,98304,arcbs001
60250,163601,F1,161482,110437742,48,2425,98202,barby032
60250,163601,P1,161483,110120260,61,2425,99708,blaly006
60250,163601,F2,161484,110457952,0,2425,99606,chigy018
60250,163601,F2,161485,110456624,32,2425,98926,chmty001
60250,163601,F2,161486,110456612,30,2425,99007,chmzy002
60250,163601,P1,161487,110442363,64,2425,99329,cipmm001
60250,163601,F2,161488,110459866,0,2425,100139,cozcy001
60250,163601,P1,161489,110460080,64,2425,100385,darhy011
60250,163601,P1,161490,110460359,60,2425,100372,davty022
60250,163601,C,161491,110366616,67,2425,42701,dewhy002
60250,163601,C,161492,110454993,72,2425,98332,dimly007
60250,163601,F1,161493,110458241,45,2425,99769,drily003
60250,163601,P1,161494,110378120,61,2425,99525,filcg001
60250,163601,P1,161495,110456975,55,2425,99030,foxky007
60250,163601,C,161496,110458439,68,2425,100049,galny008
60250,163601,F2,161497,110287792,26,2425,36875,garmi002
60250,163601,F2,161498,110456691,0,2425,99006,gilty015
60250,163601,D,161499,110458838,83,2425,99865,glamy007
60250,163601,D,161500,110454944,76,2425,98440,jonsy035
60250,163601,C,161501,110456325,68,2425,98866,kenry015
60250,163601,D,161502,110455998,75,2425,98834,kerjy030
60250,163601,F2,161503,110460230,0,2425,100316,lewjy017
60250,163601,F2,161504,110456793,2,2425,99215,maejy003
60250,163601,HD,161505,110447980,85,2425,98030,marsy123
60250,163601,F2,161506,110450326,0,2425,97146,marky072
60250,163601,P1,161507,110457431,59,2425,99345,masay039
60250,163601,HD,161508,110429534,85,2425,92912,mcity008
60250,163601,D,161509,110458275,82,2425,99803,milsy054
60250,163601,C,161510,110426514,71,2425,55428,mitcl003
60250,163601,C,161511,110426269,72,2425,55382,mitrj004
60250,163601,F1,161512,110454924,41,2425,98333,moyky006
60250,163601,F2,161513,110457999,16,2425,99416,peeby003
60250,163601,F2,161514,110459009,6,2425,100403,reily013
60250,163601,HD,161515,110458579,85,2425,99723,smiay072
60250,163601,F1,161516,110230541,48,2425,94897,strgk002
60250,163601,F2,161517,110361368,0,2425,96114,traly052
60250,163601,C,161518,110460078,73,2425,100562,varcy015
60250,163601,C,161519,110455559,66,2425,99764,wicry006
60251,163601,F2,161520,110458155,0,2425,100162,betny004
60251,163601,D,161521,110458456,75,2425,100485,mnljy017
60251,163601,D,161522,110051676,78,2425,99482,colcr003
60251,163601,D,161523,110457922,77,2425,99770,corsy034
60251,163601,D,161524,110459219,78,2425,100360,diyfy006
60251,163601,HD,161525,110459253,85,2425,99952,germy018
60251,163601,D,161526,110457471,77,2425,99269,morey031
60251,163601,C,161527,110459705,69,2425,100076,newey009
60251,163601,D,161528,110457330,75,2425,99184,pieby002
60251,163601,D,161529,110171332,79,2425,99012,verdl002
60251,163601,C,161530,110456605,73,2425,99034,wigky007
60251,163601,P1,161531,110458108,59,2425,99575,ziyny001
60249,163601,F2,161532,110459678,25,2425,100056,griby017
60249,163601,C,161533,110262934,73,2425,99603,jacei001
60249,163601,F2,161534,110457278,28,2425,100013,mccdy026
60249,163601,F2,161535,110410095,30,2425,87514,rakmy001
60249,163601,I,161536,110338868,,2425,100337,shasy176
60249,163601,D,161537,110459258,79,2425,100382,woody024
60249,163601,P1,161538,110458336,62,2425,99579,zemsy001
60247,163601,P1,161539,110460046,63,2425,100453,budny005
60247,163601,C,161540,110334188,69,2425,90748,carjs010
60247,163601,C,161541,110459425,72,2425,100329,elmzy003
60247,163601,P2,161542,110459363,53,2425,99994,harny039
60247,163601,D,161543,110459422,83,2425,99955,haray114
60247,163601,C,161544,110456545,72,2425,98912,jerhy002
60247,163601,F2,161545,110276325,5,2425,99011,kanhy028
60247,163601,P1,161546,110459151,61,2425,99919,leady006
60247,163601,C,161547,110454977,66,2425,98744,nevty005
60247,163601,C,161548,110456515,70,2425,98922,patry072
60247,163601,P1,161549,110457137,58,2425,99646,robiy007
60247,163601,P1,161550,110455183,61,2425,98733,samjy012
60247,163601,F2,161551,110458494,34,2425,99628,stosy031
10252,163601,D,139055,110439723,80,2405,95225,attry003
10252,163601,C,139056,110432270,69,2405,93981,benmy040
10252,163601,F2,139057,110380248,15,2405,45639,brijy031
10252,163601,D,139058,110435367,81,2405,94154,brony027
10252,163601,HD,139059,110439437,86,2405,95128,caray079
10252,163601,D,139060,110431933,75,2405,93737,chaly130
10252,163601,F2,139061,110434135,0,2405,94161,cofly002
10252,163601,F2,139062,110439186,13,2405,95164,comjy006
10252,163601,P1,139063,110437753,63,2405,94846,dalny016
10252,163601,D,139064,110438274,80,2405,94894,dodmy005
10252,163601,D,139065,110439397,76,2405,95066,galty014
10252,163601,D,139066,110430868,79,2405,93812,gatjy008
10252,163601,C,139067,110437299,70,2405,94533,griky020
10252,163601,D,139068,100031756,80,2405,94878,hantm002
10252,163601,D,139069,110242270,76,2405,51751,harsa020
10252,163601,P2,139070,110439729,52,2405,95219,haysy038
10252,163601,C,139071,110405502,65,2405,51056,hewcy009
10252,163601,C,139072,110438405,72,2405,94911,hilby015
10252,163601,HD,139073,110304565,85,2405,93465,hocms001
10252,163601,C,139074,110437719,67,2405,94546,hunty013
10252,163601,D,139075,110432264,81,2405,93854,innjy005
10252,163601,F2,139076,110439303,2,2405,95147,jalmy009
10252,163601,C,139077,110350636,65,2405,95176,kemmy007
10252,163601,P1,139078,110378591,59,2405,44178,kukhy001
10252,163601,D,139079,110439744,76,2405,95191,laiby007
10252,163601,P1,139080,110431491,58,2405,93794,levdy001
10252,163601,D,139081,110439381,75,2405,95051,magmy025
10252,163601,D,139082,110421136,76,2405,94519,mcady007
10252,163601,F2,139083,110431706,16,2405,93799,mcksy038
10252,163601,HD,139084,110437793,85,2405,94693,merty007
10252,163601,C,139085,110438299,66,2405,94775,mesfy001
10252,163601,F2,139086,110364619,0,2405,41135,molay015
10252,163601,D,139087,110432617,78,2405,94090,mudry001
10252,163601,P1,139088,110433022,58,2405,93836,murmy041
10252,163601,D,139089,110437723,81,2405,94881,nicsy031
10252,163601,C,139090,110274638,70,2405,95098,oweds001
10252,163601,D,139091,110433472,83,2405,94030,paajy001
10252,163601,F2,139092,110439269,37,2405,95056,parry051
10252,163601,I,139093,110438559,,2405,94764,payiy002
10252,163601,C,139094,110430315,73,2405,93443,peagy008
10252,163601,C,139095,110258284,65,2405,34546,percj006
10252,163601,P1,139096,110434485,60,2405,95065,phaky024
10252,163601,D,139097,110147642,76,2405,95007,porsw001
10252,163601,D,139098,110439297,78,2405,95114,puldy007
10252,163601,P1,139100,110437005,59,2405,94853,reeby005
10252,163601,C,139101,110431835,69,2405,93727,renly010
10252,163601,P1,139102,110438345,59,2405,94722,rusgy007
10252,163601,F2,139103,110439291,6,2405,95009,seaay011
10252,163601,C,139104,110438406,65,2405,94836,steay073
10252,163601,C,139105,110365926,69,2405,94193,talsy015
10252,163601,D,139106,110437806,82,2405,94951,tokly002
10252,163601,F2,139107,110382325,0,2405,93686,tomty005
10252,163601,F2,139108,110433924,12,2405,93984,tomgy003
10252,163601,D,139109,110439271,76,2405,95097,tucdy003
10252,163601,F2,139110,110438935,25,2405,95194,turay021
10252,163601,C,139111,110235088,67,2405,94640,viljy004
10252,163601,F2,139112,110418661,28,2405,93626,whehy001
10252,163601,HD,139113,110430354,85,2405,93791,yanty027
10252,163601,F2,139114,110220772,28,2405,93333,mohfy023
10253,163601,P1,139115,110435772,63,2405,94278,atkzy002
10253,163601,C,139116,110439047,68,2405,95085,belmy040
10253,163601,D,139117,110438036,83,2405,94660,bodjy006
10253,163601,F2,139118,100040154,0,2405,47785,bornt001
10253,163601,P1,139119,110433468,62,2405,93853,braky046
10253,163601,F1,139120,110388872,46,2405,47135,burmy032
10253,163601,P1,139121,110438985,55,2405,94914,chaey035
10253,163601,D,139122,110437148,76,2405,94612,claky019
10253,163601,C,139123,110433527,70,2405,95240,claey020
10253,163601,C,139124,110411353,68,2405,94080,contj007
10253,163601,F2,139125,110430643,0,2405,93367,dobsy010
10253,163601,C,139126,110439695,68,2405,95161,dohjy004
10253,163601,C,139127,110438024,72,2405,95103,douny012
10253,163601,C,139128,110438207,67,2405,94850,edway014
10253,163601,C,139129,110433456,74,2405,93845,fisyy001
10253,163601,F2,139130,110235057,9,2405,52121,framy015
10253,163601,D,139131,110438418,75,2405,94942,germy017
10253,163601,C,139132,110289547,69,2405,94880,glady008
10253,163601,P2,139133,110037405,50,2405,94430,golja006
10253,163601,C,139134,110438620,74,2405,95001,greiy005
10253,163601,C,139135,110435601,65,2405,94481,handy030
10253,163601,D,139136,110438015,82,2405,94644,harny036
10253,163601,F2,139137,110157148,2,2405,95159,heltm002
10253,163601,D,139138,110438822,76,2405,94883,holcy023
10253,163601,P1,139139,110375922,61,2405,51125,hoszy005
10253,163601,C,139140,110438610,69,2405,95105,ikicy001
10253,163601,C,139141,110434558,66,2405,94105,jamty006
10253,163601,F1,139142,110404288,46,2405,51394,jarsy014
10253,163601,D,139143,110439407,82,2405,95057,johgy013
10253,163601,D,139144,110415884,81,2405,93761,jonay043
10253,163601,C,139145,110438865,69,2405,95143,kahmy006
10253,163601,F2,139146,110401563,27,2405,50545,kolsy012
10253,163601,D,139147,110437458,75,2405,94537,lowsy037
10253,163601,C,139148,110438250,73,2405,95090,macay061
10253,163601,C,139149,110412556,67,2405,51971,malpy019
10253,163601,D,139150,09702443K,79,2405,93823,lofjl001
10253,163601,F2,139151,110327315,0,2405,93611,muigy001
10253,163601,HD,139152,110433361,86,2405,93861,newgy005
10253,163601,P1,139153,110435665,62,2405,94257,pasty009
10253,163601,D,139154,110433033,81,2405,93822,salvy006
10253,163601,D,139155,110438099,76,2405,94742,sancy029
10253,163601,D,139156,110431498,75,2405,94132,spisy007
10253,163601,HD,139157,110439349,86,2405,95050,waldy040
10253,163601,C,139158,110279208,73,2405,51973,wargm002
10253,163601,D,139159,110439466,76,2405,95122,wescy011
10253,163601,F2,139160,110437464,38,2405,94549,worhy003
10254,163601,F2,139176,110356396,0,2405,36339,bonmy018
10254,163601,D,139177,110433159,82,2405,93843,davcy038
10254,163601,D,139178,110434916,82,2405,94429,dodby003
10254,163601,P1,139179,110439074,55,2405,94956,doury009
10254,163601,D,139180,110293526,80,2405,94459,dunsy028
10254,163601,C,139181,110437720,74,2405,94576,fraty012
10254,163601,D,139182,110434793,84,2405,94127,gesky001
10254,163601,D,139183,110433271,79,2405,94192,kedvy001
10254,163601,HD,139184,110429773,86,2405,93441,lawby012
10254,163601,F2,139185,00109726,7,2405,95144,walay08f
10254,163601,D,139186,110429583,83,2405,93825,matdy032
10254,163601,D,139187,110430523,78,2405,94431,melmy010
10254,163601,P1,139188,110326812,55,2405,24535,mudcy006
10254,163601,C,139189,110406141,71,2405,51408,notsy003
10254,163601,D,139190,110435296,80,2405,94416,oloky007
10254,163601,F2,139191,110317946,16,2405,74099,palmr002
10254,163601,I,139192,110433912,,2405,94403,pinhy005
10254,163601,C,139193,110212529,72,2405,13707,plamy009
10254,163601,F2,139194,110430074,25,2405,93050,praly006
10254,163601,P1,139195,110439320,64,2405,95167,qurny001
10254,163601,F2,139196,110386514,18,2405,46710,robey022
10254,163601,C,139197,110428058,74,2405,93904,tepjy002
10254,163601,C,139198,110256082,66,2405,29217,tomik001
10254,163601,D,139199,110434532,75,2405,94178,warfy006
10254,163601,F2,139200,110243866,18,2405,46002,wesca004
10255,163601,D,139201,110398192,76,2405,93896,armhj001
10255,163601,F2,139202,110267154,22,2405,45321,allay020
10255,163601,D,139203,110437641,75,2405,94753,catty003
10255,163601,C,139204,110437751,66,2405,94639,chajy159
10255,163601,D,139205,110431157,80,2405,93620,cimdy001
10255,163601,D,139206,110435294,82,2405,94156,cragy005
10255,163601,F2,139207,110428334,28,2405,92803,cungy002
10255,163601,F2,139208,110430118,32,2405,93473,earcy005
10255,163601,F2,139209,110350508,14,2405,63360,facsa001
10255,163601,D,139210,110436730,76,2405,94571,flycy002
10255,163601,C,139211,110434524,71,2405,94086,giley011
10255,163601,C,139212,110030200,67,2405,93807,hibey001
10255,163601,P1,139213,110430574,63,2405,93437,hilky020
10255,163601,F2,139214,110225053,36,2405,63145,hirml002
10255,163601,D,139215,110434131,81,2405,94584,hogiy001
10255,163601,P2,139216,110255075,53,2405,94189,khecy002
10255,163601,C,139217,110432118,72,2405,94199,lakgy004
10255,163601,F2,139218,110397238,38,2405,51484,mccey014
10255,163601,D,139219,110435389,75,2405,94163,mcmly010
10255,163601,C,139220,110319316,72,2405,94382,mctcp001
10255,163601,D,139221,110437441,81,2405,94616,mitjy038
10255,163601,D,139222,110364090,76,2405,40989,moony012
10255,163601,F2,139223,110438539,22,2405,94849,nelry007
10255,163601,C,139224,110438661,66,2405,95226,sarjy013
10255,163601,F2,139225,110435222,12,2405,94155,spily011
10255,163601,P1,139226,110431122,60,2405,94130,strcy018
10255,163601,C,139227,110433923,69,2405,94179,sukcy002
10255,163601,C,139228,110433008,66,2405,93813,tatcy008
10255,163601,P1,139229,110434013,56,2405,94031,tonmy020
10256,163601,P1,139230,110438021,55,2405,95262,alkjy004
10256,163601,C,139231,110439198,66,2405,94991,canry012
10256,163601,P1,139232,110410838,56,2405,94005,deyhp002
10256,163601,D,139233,110433481,75,2405,94007,eyesy001
10256,163601,I,139234,110438560,,2405,94832,galhy004
10256,163601,P2,139235,110367868,50,2405,50777,hofla002
10256,163601,HD,139236,110437644,86,2405,94550,litey004
10256,163601,P1,139237,110432665,64,2405,93900,peasy019
10256,163601,F1,139238,110438678,45,2405,95040,reiby009
10257,163601,P1,139239,110436549,63,2405,94462,annjy009
10257,163601,F2,139240,110433878,0,2405,93941,armmy017
10257,163601,C,139241,110434115,68,2405,94006,batjy025
10257,163601,C,139242,110439005,70,2405,94926,botjy008
10257,163601,D,139243,110015971,80,2405,94094,canjr001
10257,163601,P2,139244,110434025,53,2405,94109,colsy053
10257,163601,C,139245,110431190,70,2405,93382,daljy018
10257,163601,C,139246,110432209,72,2405,93736,davdy028
10257,163601,D,139247,110435961,75,2405,94398,doaoy001
10257,163601,D,139248,110437337,81,2405,94520,drejy009
10257,163601,C,139249,110439015,74,2405,95183,faycy002
10257,163601,P1,139250,110352840,61,2405,56965,hamsj008
10257,163601,D,139251,110433032,82,2405,93815,hutjy011
10257,163601,F2,139252,110418293,0,2405,53365,jovmy004
10257,163601,D,139253,110428176,78,2405,93417,keejy011
10257,163601,P2,139254,110430745,53,2405,93592,kolty003
10257,163601,P2,139255,110400291,53,2405,50186,lathy005
10257,163601,P2,139256,110439077,51,2405,95046,lawty019
10257,163601,D,139257,110438557,82,2405,94830,manjy058
10257,163601,D,139258,110434325,78,2405,94165,marsy117
10257,163601,F2,139259,110411655,28,2405,81796,mccjd007
10257,163601,F2,139260,110158487,6,2405,94260,mcgmk002
10257,163601,C,139261,110418026,72,2405,53363,mckay021
10257,163601,C,139262,110434143,72,2405,94029,milpy020
10257,163601,I,139263,110357422,,2405,37199,miljy063
10257,163601,C,139264,110429199,70,2405,93446,morly038
10257,163601,P1,139265,110408150,62,2405,52187,morey026
10257,163601,D,139266,110439495,82,2405,95042,muiay008
10257,163601,F2,139267,110434289,6,2405,94024,myljy003
10257,163601,D,139268,110434078,75,2405,94043,orely004
10257,163601,C,139269,110422013,68,2405,54500,parsy127
10257,163601,D,139270,110438821,78,2405,95222,patpy075
10257,163601,C,139271,110435533,74,2405,94405,pugry002
10257,163601,C,139272,110432317,72,2405,93797,robcy036
10257,163601,D,139273,110422633,81,2405,54791,rowly009
10257,163601,C,139274,110430301,73,2405,93067,rusgy005
10257,163601,C,139275,110437338,65,2405,94749,saysy008
10257,163601,C,139276,110439298,67,2405,95043,mnpqy032
10257,163601,C,139277,110415350,71,2405,52502,soney004
10257,163601,D,139278,110421287,83,2405,94069,szijy001
10257,163601,F2,139279,110436316,15,2405,94376,taumy006
10257,163601,F2,139280,110428278,8,2405,92659,xbvnn005
10257,163601,C,139281,110395493,70,2405,49592,todky006
10257,163601,D,139282,110061832,76,2405,18704,tompj002
10257,163601,F2,139283,110329887,27,2405,94535,towjm002
10257,163601,P2,139284,110436260,51,2405,94611,tregy003
10257,163601,HD,139285,110434508,85,2405,94071,wauay006
10257,163601,P1,139286,110438240,63,2405,94768,webcy018
10257,163601,P1,139287,110433706,64,2405,93985,weijy038
10257,163601,D,139288,110437457,82,2405,94573,wilty073
10257,163601,C,139289,110436582,69,2405,94968,wiljy145
10257,163601,D,139290,110435419,75,2405,94180,zapiy004
10257,163601,C,139291,110422941,69,2405,92230,zhumy020
10258,163601,D,139292,110432620,75,2405,94638,chacy279
10258,163601,D,139293,00106356F,75,2405,94710,davlj006
10258,163601,P2,139294,110287948,54,2405,93841,grilc004
10258,163601,D,139295,110426050,79,2405,93778,klely005
10258,163601,D,139296,110430884,82,2405,93840,miety003
10258,163601,D,139297,110229903,75,2405,94712,morcj018
10258,163601,P1,139298,100100130,64,2405,95021,rohjt001
10258,163601,P1,139299,110439440,55,2405,95082,shafy036
10258,163601,C,139300,110438366,71,2405,94954,smiey034
10258,163601,C,139301,110365457,69,2405,91361,snajy002
10258,163601,P1,139302,110437810,60,2405,94708,strjy019
10252,163601,I,139099,110418945,,2405,54683,pursy012
30263,163601,HD,146503,110448057,85,2412,97515,wehmy001
30219,163601,D,146577,110446027,79,2412,95497,braly031
30219,163601,D,146578,110447325,82,2412,96018,wiljy146
30219,163601,D,146579,110043638,75,2412,95406,stukr001
30219,163601,C,146580,110284479,69,2412,17753,stejs006
30219,163601,D,146581,110432180,77,2412,96164,shiar003
30219,163601,P1,146582,110439206,55,2412,95427,shejy051
30219,163601,D,146583,110449012,78,2412,96370,wonhy109
30219,163601,P1,146584,110299502,63,2412,97251,ouday001
30219,163601,D,146585,110437258,75,2412,95112,milay066
30219,163601,F2,146586,110448622,5,2412,96342,manay095
30219,163601,F2,146587,110437812,0,2412,94943,jukay002
30219,163601,P1,146588,110435654,62,2412,94522,gapny001
30219,163601,P2,146589,110441250,51,2412,95342,chaay157
30219,163601,D,146590,110447460,78,2412,95867,niisy001
30219,163601,P1,146591,110446587,58,2412,96819,zaiyy002
30218,163601,F2,146592,110230586,0,2412,40835,ahmsy036
30218,163601,D,146593,110364256,83,2412,40572,bansy026
30218,163601,C,146594,110394497,72,2412,52082,beekj005
30218,163601,D,146595,110449480,76,2412,96465,bergy010
30218,163601,F2,146596,110448755,35,2412,96247,brufy004
30218,163601,D,146597,110446285,79,2412,95683,bryzy002
30218,163601,F2,146598,110361420,0,2412,39082,burgy017
30218,163601,C,146599,110448464,65,2412,96420,cetgy001
30218,163601,C,146600,00046303,66,2412,96297,chanl01f
30218,163601,F2,146601,110379253,18,2412,76001,craey007
30218,163601,F2,146602,00082980,16,2412,96216,cletl01f
30218,163601,P2,146603,110445782,50,2412,95866,damey002
30218,163601,D,146604,110446107,79,2412,95764,dooay005
30218,163601,D,146605,110447346,79,2412,95859,elkly003
30218,163601,C,146606,110442573,65,2412,97181,ermjm001
30218,163601,C,146607,110441129,68,2412,95817,flemy012
30218,163601,P2,146608,110450408,52,2412,97059,forgy010
30218,163601,C,146609,110409036,65,2412,54405,heaar002
30218,163601,P2,146610,110448382,51,2412,96113,iakey001
30218,163601,P1,146611,110438827,57,2412,95016,jeccy001
30218,163601,C,146612,110428163,65,2412,96643,ghajy008
30218,163601,F2,146613,09409902F,0,2412,11791,koojs001
30218,163601,P2,146614,110397331,51,2412,49700,kooam001
30218,163601,F2,146615,110447672,14,2412,95932,letgy002
30218,163601,D,146616,110441053,75,2412,95272,lucjy012
30218,163601,F2,146617,110446712,0,2412,97301,mcajy009
30218,163601,F2,146618,110450884,0,2412,97258,miyty004
30218,163601,F2,146619,110446506,7,2412,96506,namay009
30218,163601,D,146620,110396074,83,2412,95503,prany012
30218,163601,C,146621,110446099,69,2412,95494,raury003
30218,163601,F2,146622,110429746,15,2412,96371,reelj003
30218,163601,HD,146623,110446566,86,2412,95760,ricsy037
30218,163601,D,146624,110449223,83,2412,96594,rogcy010
30218,163601,C,146625,110448806,71,2412,96246,rosjy039
30218,163601,D,146626,110257597,83,2412,68824,schgr003
30218,163601,C,146627,110439481,66,2412,95580,shefy012
30218,163601,F2,146628,110122959,0,2412,97300,skimy003
30218,163601,F1,146629,110439707,47,2412,95868,smiky071
30218,163601,C,146630,110449622,74,2412,96846,stehy023
30218,163601,D,146631,110440756,77,2412,95493,styty004
30218,163601,D,146632,110438451,82,2412,94967,tewdy001
30218,163601,F1,146633,110449595,43,2412,97189,thogy024
30218,163601,C,146634,110447340,70,2412,96341,upcay001
30218,163601,P1,146635,110447977,63,2412,96600,wesmy023
30218,163601,P1,146636,110448536,61,2412,96214,whimy038
30218,163601,C,146637,110447303,69,2412,95903,wilty074
30218,163601,F2,146638,110293135,31,2412,26905,wilay105
30218,163601,C,146639,110449358,73,2412,96468,wiley050
30218,163601,P2,146640,110450406,50,2412,96923,wilmy117
30218,163601,C,146641,110450308,71,2412,96948,wiley051
30218,163601,D,146642,110436524,83,2412,96924,wilry069
30218,163601,P1,146643,110349381,62,2412,35544,wisfy001
30218,163601,C,146644,110449011,69,2412,96427,wraey002
30218,163601,C,146645,110446721,72,2412,95739,zimly003
30215,163601,D,146646,110451101,75,2412,97269,anhzy011
30215,163601,P1,146647,110441117,60,2412,95279,baurc002
30215,163601,C,146648,110441833,65,2412,95417,bordm001
30215,163601,D,146649,110450815,79,2412,97156,bosny005
30215,163601,D,146650,110446457,75,2412,95761,cosmy020
30215,163601,D,146651,110448517,76,2412,97202,danjy045
30215,163601,P2,146652,110430139,52,2412,93202,dargy005
30215,163601,F2,146653,110301537,24,2412,96249,erdyy001
30215,163601,D,146654,110450293,79,2412,97190,hiniy001
30215,163601,C,146655,110450181,68,2412,97253,kamay020
30215,163601,C,146656,110446586,65,2412,96221,leaky010
30215,163601,P1,146657,110010613,59,2412,92878,lisbm001
30215,163601,F2,146658,110182736,0,2412,96415,matnr004
30215,163601,C,146659,110449424,68,2412,96504,panay062
30215,163601,C,146660,110042424,72,2412,96461,panjy019
30215,163601,HD,146661,110441595,85,2412,95820,satky007
30215,163601,P1,146662,110440970,61,2412,95270,tsoey004
30215,163601,C,146663,110095287,66,2412,95457,vantr001
30215,163601,C,146666,110440944,66,2412,95341,wincy007
30214,163601,P1,146667,110446589,60,2412,96818,aryay009
30214,163601,D,146668,110433784,78,2412,95249,zxwqy002
30214,163601,C,146669,110450453,69,2412,97008,birsy013
30214,163601,P1,146670,110384430,59,2412,45762,brokl022
30214,163601,D,146671,110333013,75,2412,30402,broec005
30214,163601,P1,146672,110450885,61,2412,97209,buray051
30214,163601,P1,146673,110407935,63,2412,95578,carcy062
30214,163601,P1,146674,110406973,55,2412,95837,casey013
30214,163601,F2,146675,110432864,10,2412,93837,chasy333
30214,163601,P1,146676,110444277,61,2412,96206,chaci001
30214,163601,C,146677,110449009,68,2412,97154,boryy002
30214,163601,D,146678,110357164,75,2412,51797,cofej002
30214,163601,C,146679,110441151,71,2412,95522,coxay010
30214,163601,C,146680,110064609,71,2412,96630,devbc001
30214,163601,C,146681,110447564,69,2412,96240,dunkn001
30214,163601,D,146682,110449760,82,2412,96592,ezzsy002
30214,163601,C,146683,110441108,71,2412,95356,haiky011
30214,163601,D,146684,110446709,75,2412,96173,harjy128
30214,163601,C,146685,110449014,67,2412,97083,hilly012
30214,163601,P1,146686,110449402,59,2412,96564,hocjy006
30214,163601,C,146687,110441295,68,2412,96079,kamjn001
30214,163601,F2,146688,110406199,4,2412,51364,karsy065
30214,163601,C,146689,110441606,68,2412,95520,kilby006
30214,163601,F2,146690,110446190,30,2412,95579,leehy116
30214,163601,D,146691,09304860D,80,2412,94623,leiss001
30214,163601,F1,146692,110269035,45,2412,77446,litcy007
30214,163601,P1,146693,110441590,62,2412,95391,manay094
30214,163601,F1,146694,110451061,43,2412,97298,marjy149
30214,163601,D,146695,110449499,77,2412,96742,mcoty001
30214,163601,F2,146696,100004594,17,2412,96373,mudly001
30214,163601,D,146697,110082829,76,2412,95013,newca004
30214,163601,F2,146698,110404153,25,2412,51372,nicsy030
30214,163601,D,146699,110339339,78,2412,31968,peary014
30214,163601,P1,146700,09806016P,60,2412,95898,reiml001
30214,163601,F2,146701,110204273,0,2412,97006,sanci001
30214,163601,C,146702,110341367,68,2412,32680,seeey002
30214,163601,C,146703,110427240,65,2412,95686,sivsy020
30214,163601,C,146704,110446432,71,2412,97120,vaniy009
30214,163601,F1,146705,110451080,41,2412,97194,veiay002
30217,163601,HD,146706,110449342,89,2412,96463,braky047
30217,163601,D,146707,110448987,83,2412,96464,geley001
30217,163601,D,146708,110450038,75,2412,96735,lammy046
30217,163601,I,146709,110446171,,2412,95495,lonky010
30217,163601,C,146710,110446706,73,2412,95819,morny024
30217,163601,I,146711,110445925,,2412,95496,olily009
30217,163601,C,146712,110436791,70,2412,94593,penly015
30217,163601,P1,146713,110231134,58,2412,93776,scorl003
30217,163601,P1,146714,110305244,57,2412,95441,walcy052
30213,163601,P1,146715,110447426,55,2412,96255,awary002
30213,163601,D,146716,110441298,78,2412,95499,baxcy004
30213,163601,D,146717,110451162,75,2412,97267,brojy074
30213,163601,D,146718,110449388,76,2412,96926,canry013
30213,163601,D,146719,110410342,77,2412,96553,dadej001
30213,163601,C,146720,110198261,71,2412,96664,docsj001
30213,163601,F2,146721,110446092,30,2412,95731,fyfry001
30213,163601,C,146722,110441160,70,2412,95525,garay048
30213,163601,P2,146723,100060401,53,2412,96115,greeb001
30213,163601,P2,146724,110434564,53,2412,96951,hidjy002
30213,163601,D,146725,110440311,81,2412,95351,humty004
30213,163601,P1,146726,110450341,59,2412,96962,johry031
30213,163601,F2,146727,110446869,24,2412,95775,kerey008
